Tournament,Stage,Match Type,Map,Team,Agent,Total Wins By Map,Total Loss By Map,Total Maps Played
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Haven,FURIA,omen,1,0,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Haven,FURIA,sova,1,0,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Haven,FURIA,neon,1,0,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Haven,FURIA,viper,1,0,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Haven,FURIA,killjoy,1,0,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Haven,Paper Rex,omen,0,1,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Haven,Paper Rex,yoru,0,1,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Haven,Paper Rex,fade,0,1,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Haven,Paper Rex,phoenix,0,1,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Haven,Paper Rex,chamber,0,1,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Haven,Nongshim RedForce,omen,1,0,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Haven,Nongshim RedForce,yoru,1,0,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Haven,Nongshim RedForce,sova,1,0,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Haven,Nongshim RedForce,neon,1,0,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Haven,Nongshim RedForce,killjoy,1,0,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Haven,Gentle Mates,yoru,0,1,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Haven,Gentle Mates,sova,0,1,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Haven,Gentle Mates,neon,0,1,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Haven,Gentle Mates,astra,0,1,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Haven,Gentle Mates,cypher,0,1,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Corrode,Nongshim RedForce,omen,1,0,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Corrode,Nongshim RedForce,yoru,1,0,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Corrode,Nongshim RedForce,neon,1,0,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Corrode,Nongshim RedForce,viper,1,0,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Corrode,Nongshim RedForce,fade,1,0,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Corrode,Gentle Mates,sova,0,1,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Corrode,Gentle Mates,neon,0,1,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Corrode,Gentle Mates,astra,0,1,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Corrode,Gentle Mates,phoenix,0,1,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Corrode,Gentle Mates,kayo,0,1,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Split,FURIA,omen,0,1,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Split,FURIA,yoru,0,1,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Split,FURIA,viper,0,1,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Split,FURIA,waylay,0,1,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Split,FURIA,fade,0,1,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Split,Paper Rex,omen,1,0,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Split,Paper Rex,yoru,1,0,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Split,Paper Rex,viper,1,0,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Split,Paper Rex,fade,1,0,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Split,Paper Rex,raze,1,0,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Split,BBL Esports,omen,0,1,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Split,BBL Esports,yoru,0,1,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Split,BBL Esports,neon,0,1,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Split,BBL Esports,viper,0,1,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Split,BBL Esports,fade,0,1,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Split,Mega Minors,omen,1,0,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Split,Mega Minors,neon,1,0,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Split,Mega Minors,viper,1,0,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Split,Mega Minors,skye,1,0,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Split,Mega Minors,vyse,1,0,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Split,All Gamers,omen,0,1,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Split,All Gamers,viper,0,1,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Split,All Gamers,waylay,0,1,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Split,All Gamers,skye,0,1,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Split,All Gamers,raze,0,1,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Split,G2 Esports,neon,1,0,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Split,G2 Esports,viper,1,0,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Split,G2 Esports,waylay,1,0,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Split,G2 Esports,astra,1,0,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Split,G2 Esports,fade,1,0,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Abyss,BBL Esports,omen,1,0,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Abyss,BBL Esports,yoru,1,0,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Abyss,BBL Esports,sova,1,0,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Abyss,BBL Esports,waylay,1,0,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Abyss,BBL Esports,cypher,1,0,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Abyss,Mega Minors,omen,0,1,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Abyss,Mega Minors,sova,0,1,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Abyss,Mega Minors,viper,0,1,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Abyss,Mega Minors,waylay,0,1,1
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Abyss,Mega Minors,tejo,0,1,1
