Tournament,Tournament ID,Stage,Stage ID,Match Type,Match Name,Match ID,Map,Game ID
Valorant Masters Santiago 2026,2760,Swiss Stage,5359,Round 1,Gentle Mates vs EDward Gaming,625788,Haven,254143
Valorant Masters Santiago 2026,2760,Swiss Stage,5359,Round 1,Gentle Mates vs EDward Gaming,625788,Pearl,254144
Valorant Masters Santiago 2026,2760,Swiss Stage,5359,Round 1,Xi Lai Gaming vs NRG,625791,Haven,254152
Valorant Masters Santiago 2026,2760,Swiss Stage,5359,Round 1,Xi Lai Gaming vs NRG,625791,Abyss,254153
Valorant Masters Santiago 2026,2760,Swiss Stage,5359,Round 1,G2 Esports vs Paper Rex,625790,Split,254149
Valorant Masters Santiago 2026,2760,Swiss Stage,5359,Round 1,G2 Esports vs Paper Rex,625790,Corrode,254150
Valorant Masters Santiago 2026,2760,Swiss Stage,5359,Round 1,T1 vs Team Liquid,625789,Breeze,254146
Valorant Masters Santiago 2026,2760,Swiss Stage,5359,Round 1,T1 vs Team Liquid,625789,Split,254147
Valorant Masters Santiago 2026,2760,Swiss Stage,5359,Round 2 (1-0),Paper Rex vs NRG,626529,Split,254342
Valorant Masters Santiago 2026,2760,Swiss Stage,5359,Round 2 (1-0),Paper Rex vs NRG,626529,Pearl,254343
Valorant Masters Santiago 2026,2760,Swiss Stage,5359,Round 2 (1-0),Paper Rex vs NRG,626529,Haven,254344
Valorant Masters Santiago 2026,2760,Swiss Stage,5359,Round 2 (1-0),Gentle Mates vs Team Liquid,626530,Pearl,254345
Valorant Masters Santiago 2026,2760,Swiss Stage,5359,Round 2 (1-0),Gentle Mates vs Team Liquid,626530,Bind,254346
Valorant Masters Santiago 2026,2760,Swiss Stage,5359,Round 2 (0-1),EDward Gaming vs T1,626532,Bind,254348
Valorant Masters Santiago 2026,2760,Swiss Stage,5359,Round 2 (0-1),EDward Gaming vs T1,626532,Haven,254349
Valorant Masters Santiago 2026,2760,Swiss Stage,5359,Round 2 (0-1),Xi Lai Gaming vs G2 Esports,626533,Abyss,254351
Valorant Masters Santiago 2026,2760,Swiss Stage,5359,Round 2 (0-1),Xi Lai Gaming vs G2 Esports,626533,Haven,254352
Valorant Masters Santiago 2026,2760,Swiss Stage,5359,Round 3,NRG vs Team Liquid,626535,Breeze,254357
Valorant Masters Santiago 2026,2760,Swiss Stage,5359,Round 3,NRG vs Team Liquid,626535,Abyss,254358
Valorant Masters Santiago 2026,2760,Swiss Stage,5359,Round 3,G2 Esports vs T1,626534,Breeze,254354
Valorant Masters Santiago 2026,2760,Swiss Stage,5359,Round 3,G2 Esports vs T1,626534,Haven,254355
Valorant Masters Santiago 2026,2760,Playoffs,5546,Upper Quarterfinals,FURIA vs Paper Rex,626539,Haven,254366
Valorant Masters Santiago 2026,2760,Playoffs,5546,Upper Quarterfinals,FURIA vs Paper Rex,626539,Breeze,254367
Valorant Masters Santiago 2026,2760,Playoffs,5546,Upper Quarterfinals,FURIA vs Paper Rex,626539,Split,254368
Valorant Masters Santiago 2026,2760,Playoffs,5546,Upper Quarterfinals,Nongshim RedForce vs Gentle Mates,626537,Haven,254360
Valorant Masters Santiago 2026,2760,Playoffs,5546,Upper Quarterfinals,Nongshim RedForce vs Gentle Mates,626537,Corrode,254361
Valorant Masters Santiago 2026,2760,Playoffs,5546,Upper Quarterfinals,BBL Esports vs NRG,626540,Pearl,254369
Valorant Masters Santiago 2026,2760,Playoffs,5546,Upper Quarterfinals,BBL Esports vs NRG,626540,Abyss,254370
Valorant Masters Santiago 2026,2760,Playoffs,5546,Upper Quarterfinals,BBL Esports vs NRG,626540,Split,254371
Valorant Masters Santiago 2026,2760,Playoffs,5546,Upper Quarterfinals,All Gamers vs G2 Esports,626538,Split,254363
Valorant Masters Santiago 2026,2760,Playoffs,5546,Upper Quarterfinals,All Gamers vs G2 Esports,626538,Abyss,254364
Valorant Masters Santiago 2026,2760,Playoffs,5546,Lower Round 1,FURIA vs BBL Esports,626546,Haven,254389
Valorant Masters Santiago 2026,2760,Playoffs,5546,Lower Round 1,FURIA vs BBL Esports,626546,Breeze,254390
Valorant Masters Santiago 2026,2760,Playoffs,5546,Lower Round 1,FURIA vs BBL Esports,626546,Abyss,254391
Valorant Masters Santiago 2026,2760,Playoffs,5546,Lower Round 1,Gentle Mates vs All Gamers,626545,Pearl,254386
Valorant Masters Santiago 2026,2760,Playoffs,5546,Lower Round 1,Gentle Mates vs All Gamers,626545,Split,254387
Valorant Masters Santiago 2026,2760,Playoffs,5546,Lower Round 1,Gentle Mates vs All Gamers,626545,Bind,254388
Valorant Masters Santiago 2026,2760,Playoffs,5546,Upper Semifinals,Nongshim RedForce vs G2 Esports,626541,Abyss,256753
Valorant Masters Santiago 2026,2760,Playoffs,5546,Upper Semifinals,Nongshim RedForce vs G2 Esports,626541,Corrode,254373
