Tournament,Stage,Match Type,Match Name,Team,Action,Map
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,EDward Gaming,ban,Split
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Gentle Mates,ban,Breeze
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,EDward Gaming,pick,Haven
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Gentle Mates,pick,Pearl
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,EDward Gaming,ban,Bind
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Gentle Mates,ban,Corrode
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Mega Minors,ban,Bind
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Xi Lai Gaming,ban,Corrode
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Mega Minors,pick,Haven
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Xi Lai Gaming,pick,Abyss
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Mega Minors,ban,Split
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Xi Lai Gaming,ban,Breeze
Valorant Masters Santiago 2026,Swiss Stage,Round 1,G2 Esports vs Paper Rex,Paper Rex,ban,Abyss
Valorant Masters Santiago 2026,Swiss Stage,Round 1,G2 Esports vs Paper Rex,G2 Esports,ban,Haven
Valorant Masters Santiago 2026,Swiss Stage,Round 1,G2 Esports vs Paper Rex,Paper Rex,pick,Split
Valorant Masters Santiago 2026,Swiss Stage,Round 1,G2 Esports vs Paper Rex,G2 Esports,pick,Corrode
Valorant Masters Santiago 2026,Swiss Stage,Round 1,G2 Esports vs Paper Rex,Paper Rex,ban,Pearl
Valorant Masters Santiago 2026,Swiss Stage,Round 1,G2 Esports vs Paper Rex,G2 Esports,ban,Bind
Valorant Masters Santiago 2026,Swiss Stage,Round 1,T1 vs Team Liquid,Team Liquid,ban,Pearl
Valorant Masters Santiago 2026,Swiss Stage,Round 1,T1 vs Team Liquid,T1,ban,Bind
Valorant Masters Santiago 2026,Swiss Stage,Round 1,T1 vs Team Liquid,Team Liquid,pick,Breeze
Valorant Masters Santiago 2026,Swiss Stage,Round 1,T1 vs Team Liquid,T1,pick,Split
Valorant Masters Santiago 2026,Swiss Stage,Round 1,T1 vs Team Liquid,Team Liquid,ban,Abyss
Valorant Masters Santiago 2026,Swiss Stage,Round 1,T1 vs Team Liquid,T1,ban,Corrode
Valorant Masters Santiago 2026,Swiss Stage,Round 2 (1-0),Paper Rex vs NRG,Paper Rex,ban,Abyss
Valorant Masters Santiago 2026,Swiss Stage,Round 2 (1-0),Paper Rex vs NRG,Mega Minors,ban,Bind
Valorant Masters Santiago 2026,Swiss Stage,Round 2 (1-0),Paper Rex vs NRG,Paper Rex,pick,Split
Valorant Masters Santiago 2026,Swiss Stage,Round 2 (1-0),Paper Rex vs NRG,Mega Minors,pick,Pearl
