Tournament,Stage,Match Type,Match Name,Map,Round Number,Team,Loadout Value,Remaining Credits,Type,Outcome
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,1,Gentle Mates,,0.3k,Eco: 0-5k,Loss
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,1,EDward Gaming,,0.2k,Eco: 0-5k,Win
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,2,Gentle Mates,,6.2k,Eco: 0-5k,Win
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,2,EDward Gaming,,4.1k,Semi-buy: 10-20k,Loss
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,3,Gentle Mates,,9.1k,Full buy: 20k+,Win
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,3,EDward Gaming,,8.5k,Semi-eco: 5-10k,Loss
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,4,Gentle Mates,,17.1k,Full buy: 20k+,Loss
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,4,EDward Gaming,,1.2k,Full buy: 20k+,Win
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,5,Gentle Mates,,5.8k,Full buy: 20k+,Win
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,5,EDward Gaming,,10.8k,Full buy: 20k+,Loss
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,6,Gentle Mates,,6.1k,Full buy: 20k+,Win
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,6,EDward Gaming,,4.7k,Semi-buy: 10-20k,Loss
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,7,Gentle Mates,,10.7k,Full buy: 20k+,Win
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,7,EDward Gaming,,10.5k,Semi-eco: 5-10k,Loss
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,8,Gentle Mates,,17.5k,Full buy: 20k+,Win
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,8,EDward Gaming,,3.5k,Full buy: 20k+,Loss
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,9,Gentle Mates,,20.6k,Full buy: 20k+,Win
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,9,EDward Gaming,,2.6k,Full buy: 20k+,Loss
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,10,Gentle Mates,,23.7k,Full buy: 20k+,Loss
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,10,EDward Gaming,,6.0k,Semi-buy: 10-20k,Win
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,11,Gentle Mates,,11.1k,Full buy: 20k+,Loss
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,11,EDward Gaming,,12.9k,Full buy: 20k+,Win
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,12,Gentle Mates,,2.9k,Full buy: 20k+,Win
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,12,EDward Gaming,,23.0k,Full buy: 20k+,Loss
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,13,Gentle Mates,,0.2k,Eco: 0-5k,Win
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,13,EDward Gaming,,0.3k,Eco: 0-5k,Loss
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,14,Gentle Mates,,1.7k,Semi-buy: 10-20k,Win
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,14,EDward Gaming,,7.5k,Eco: 0-5k,Loss
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,15,Gentle Mates,,13.0k,Semi-buy: 10-20k,Loss
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,15,EDward Gaming,,0.5k,Full buy: 20k+,Win
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,16,Gentle Mates,,2.4k,Full buy: 20k+,Loss
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,16,EDward Gaming,,12.9k,Full buy: 20k+,Win
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,17,Gentle Mates,,10.4k,Semi-eco: 5-10k,Loss
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,17,EDward Gaming,,24.0k,Full buy: 20k+,Win
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,18,Gentle Mates,,3.1k,Full buy: 20k+,Loss
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,18,EDward Gaming,,31.7k,Full buy: 20k+,Win
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,19,Gentle Mates,,11.4k,Semi-eco: 5-10k,Loss
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,19,EDward Gaming,,26.8k,Full buy: 20k+,Win
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,20,Gentle Mates,,5.0k,Full buy: 20k+,Loss
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,20,EDward Gaming,,36.8k,Full buy: 20k+,Win
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,21,Gentle Mates,,4.8k,Full buy: 20k+,Win
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,21,EDward Gaming,,38.6k,Full buy: 20k+,Loss
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,22,Gentle Mates,,10.3k,Full buy: 20k+,Win
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,22,EDward Gaming,,20.7k,Full buy: 20k+,Loss
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,23,Gentle Mates,,4.6k,Full buy: 20k+,Loss
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,23,EDward Gaming,,10.5k,Full buy: 20k+,Win
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,24,Gentle Mates,,0.9k,Semi-buy: 10-20k,Win
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,24,EDward Gaming,,11.2k,Full buy: 20k+,Loss
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,1,Gentle Mates,,0.3k,Eco: 0-5k,Loss
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,1,EDward Gaming,,0.4k,Eco: 0-5k,Win
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,2,Gentle Mates,,7.9k,Eco: 0-5k,Loss
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,2,EDward Gaming,,1.8k,Semi-buy: 10-20k,Win
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,3,Gentle Mates,,0.9k,Full buy: 20k+,Win
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,3,EDward Gaming,,12.8k,Semi-buy: 10-20k,Loss
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,4,Gentle Mates,,8.9k,Full buy: 20k+,Win
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,4,EDward Gaming,,0.7k,Full buy: 20k+,Loss
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,5,Gentle Mates,,10.4k,Full buy: 20k+,Loss
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,5,EDward Gaming,,7.9k,Semi-eco: 5-10k,Win
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,6,Gentle Mates,,9.2k,Semi-buy: 10-20k,Win
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,6,EDward Gaming,,10.0k,Full buy: 20k+,Loss
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,7,Gentle Mates,,15.4k,Full buy: 20k+,Loss
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,7,EDward Gaming,,11.3k,Semi-eco: 5-10k,Win
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,8,Gentle Mates,,5.4k,Full buy: 20k+,Loss
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,8,EDward Gaming,,8.9k,Full buy: 20k+,Win
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,9,Gentle Mates,,1.0k,Semi-buy: 10-20k,Win
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,9,EDward Gaming,,15.5k,Full buy: 20k+,Loss
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,10,Gentle Mates,,10.2k,Full buy: 20k+,Loss
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,10,EDward Gaming,,6.8k,Full buy: 20k+,Win
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,11,Gentle Mates,,1.9k,Semi-buy: 10-20k,Win
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,11,EDward Gaming,,7.1k,Full buy: 20k+,Loss
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,12,Gentle Mates,,5.5k,Full buy: 20k+,Win
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,12,EDward Gaming,,0.9k,Full buy: 20k+,Loss
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,13,Gentle Mates,,0.2k,Eco: 0-5k,Loss
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,13,EDward Gaming,,0.4k,Eco: 0-5k,Win
