Tournament,Stage,Match Type,Match Name,Map,Team,Type,Initiated,Won
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,Gentle Mates,Pistol Won,,1
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,Gentle Mates,Eco (won),3,2
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,Gentle Mates,$ (won),2,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,Gentle Mates,$$ (won),3,2
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,Gentle Mates,$$$ (won),16,9
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,EDward Gaming,Pistol Won,,1
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,EDward Gaming,Eco (won),3,1
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,EDward Gaming,$ (won),2,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,EDward Gaming,$$ (won),3,1
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,EDward Gaming,$$$ (won),16,9
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,Gentle Mates,Pistol Won,,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,Gentle Mates,Eco (won),4,1
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,Gentle Mates,$ (won),0,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,Gentle Mates,$$ (won),3,3
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,Gentle Mates,$$$ (won),13,9
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,EDward Gaming,Pistol Won,,2
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,EDward Gaming,Eco (won),2,2
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,EDward Gaming,$ (won),3,2
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,EDward Gaming,$$ (won),6,1
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,EDward Gaming,$$$ (won),9,2
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,All Maps,Gentle Mates,Pistol Won,,1
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,All Maps,Gentle Mates,Eco (won),7,3
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,All Maps,Gentle Mates,$ (won),2,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,All Maps,Gentle Mates,$$ (won),6,5
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,All Maps,Gentle Mates,$$$ (won),29,18
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,All Maps,EDward Gaming,Pistol Won,,3
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,All Maps,EDward Gaming,Eco (won),5,3
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,All Maps,EDward Gaming,$ (won),5,2
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,All Maps,EDward Gaming,$$ (won),9,2
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,All Maps,EDward Gaming,$$$ (won),25,11
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Haven,Xi Lai Gaming,Pistol Won,,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Haven,Xi Lai Gaming,Eco (won),3,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Haven,Xi Lai Gaming,$ (won),1,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Haven,Xi Lai Gaming,$$ (won),6,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Haven,Xi Lai Gaming,$$$ (won),5,2
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Haven,Mega Minors,Pistol Won,,2
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Haven,Mega Minors,Eco (won),2,2
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Haven,Mega Minors,$ (won),0,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Haven,Mega Minors,$$ (won),3,3
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Haven,Mega Minors,$$$ (won),10,8
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Abyss,Xi Lai Gaming,Pistol Won,,1
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Abyss,Xi Lai Gaming,Eco (won),4,1
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Abyss,Xi Lai Gaming,$ (won),1,1
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Abyss,Xi Lai Gaming,$$ (won),3,3
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Abyss,Xi Lai Gaming,$$$ (won),15,5
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Abyss,Mega Minors,Pistol Won,,1
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Abyss,Mega Minors,Eco (won),4,1
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Abyss,Mega Minors,$ (won),1,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Abyss,Mega Minors,$$ (won),1,1
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Abyss,Mega Minors,$$$ (won),17,11
