Tournament,Stage,Match Type,Match Name,Map,Player Team,Player,Enemy Team,Enemy,Player Kills,Enemy Kills,Difference,Kill Type
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,All Maps,Gentle Mates,bipo,EDward Gaming,CHICHOO,1,6,-5,All Kills
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,All Maps,Gentle Mates,bipo,EDward Gaming,cb,7,7,0,All Kills
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,All Maps,Gentle Mates,bipo,EDward Gaming,ZmjjKK,6,9,-3,All Kills
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,All Maps,Gentle Mates,bipo,EDward Gaming,Smoggy,3,4,-1,All Kills
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,All Maps,Gentle Mates,bipo,EDward Gaming,nobody,8,1,7,All Kills
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,All Maps,Gentle Mates,GLYPH,EDward Gaming,CHICHOO,8,4,4,All Kills
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,All Maps,Gentle Mates,GLYPH,EDward Gaming,cb,4,7,-3,All Kills
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,All Maps,Gentle Mates,GLYPH,EDward Gaming,ZmjjKK,5,6,-1,All Kills
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,All Maps,Gentle Mates,GLYPH,EDward Gaming,Smoggy,7,5,2,All Kills
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,All Maps,Gentle Mates,GLYPH,EDward Gaming,nobody,6,6,0,All Kills
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,All Maps,Gentle Mates,starxo,EDward Gaming,CHICHOO,9,5,4,All Kills
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,All Maps,Gentle Mates,starxo,EDward Gaming,cb,4,6,-2,All Kills
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,All Maps,Gentle Mates,starxo,EDward Gaming,ZmjjKK,1,8,-7,All Kills
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,All Maps,Gentle Mates,starxo,EDward Gaming,Smoggy,6,4,2,All Kills
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,All Maps,Gentle Mates,starxo,EDward Gaming,nobody,4,2,2,All Kills
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,All Maps,Gentle Mates,Minny,EDward Gaming,CHICHOO,6,8,-2,All Kills
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,All Maps,Gentle Mates,Minny,EDward Gaming,cb,14,7,7,All Kills
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,All Maps,Gentle Mates,Minny,EDward Gaming,ZmjjKK,9,4,5,All Kills
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,All Maps,Gentle Mates,Minny,EDward Gaming,Smoggy,4,2,2,All Kills
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,All Maps,Gentle Mates,Minny,EDward Gaming,nobody,4,6,-2,All Kills
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,All Maps,Gentle Mates,marteen,EDward Gaming,CHICHOO,5,1,4,All Kills
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,All Maps,Gentle Mates,marteen,EDward Gaming,cb,2,7,-5,All Kills
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,All Maps,Gentle Mates,marteen,EDward Gaming,ZmjjKK,8,5,3,All Kills
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,All Maps,Gentle Mates,marteen,EDward Gaming,Smoggy,9,7,2,All Kills
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,All Maps,Gentle Mates,marteen,EDward Gaming,nobody,8,4,4,All Kills
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,All Maps,Gentle Mates,bipo,EDward Gaming,CHICHOO,1,2,-1,First Kills
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,All Maps,Gentle Mates,bipo,EDward Gaming,cb,0,2,-2,First Kills
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,All Maps,Gentle Mates,bipo,EDward Gaming,ZmjjKK,4,4,0,First Kills
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,All Maps,Gentle Mates,bipo,EDward Gaming,Smoggy,0,1,-1,First Kills
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,All Maps,Gentle Mates,bipo,EDward Gaming,nobody,2,0,2,First Kills
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,All Maps,Gentle Mates,GLYPH,EDward Gaming,CHICHOO,1,0,1,First Kills
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,All Maps,Gentle Mates,GLYPH,EDward Gaming,cb,,,,First Kills
