Tournament,Stage,Match Type,Match Name,Map,Team,Player,Agents,2k,3k,4k,5k,1v1,1v2,1v3,1v4,1v5,Econ,Spike Plants,Spike Defuses
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,All Maps,Gentle Mates,starxo,"fade, sova",6,1,,,,,,,,44,7,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,All Maps,Gentle Mates,GLYPH,astra,6,1,,,,,,,,52,1,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,All Maps,Gentle Mates,marteen,yoru,5,4,,,3,,,,,60,4,2
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,All Maps,Gentle Mates,bipo,neon,3,1,,,,,,,,41,1,1
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,All Maps,Gentle Mates,Minny,cypher,5,2,,,,,,,,54,5,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,All Maps,EDward Gaming,nobody,sova,4,,1,,,,,,,40,6,1
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,All Maps,EDward Gaming,ZmjjKK,"chamber, neon",5,2,1,,,,,,,57,0,1
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,All Maps,EDward Gaming,Smoggy,"astra, omen",4,,,,,,,,,47,2,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,All Maps,EDward Gaming,CHICHOO,"killjoy, viper",7,,,,,,,,,48,1,1
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,All Maps,EDward Gaming,cb,"neon, yoru",8,1,,,,,,,,53,1,1
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,Gentle Mates,starxo,sova,5,1,,,,,,,,46,2,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,Gentle Mates,GLYPH,astra,2,,,,,,,,,27,0,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,Gentle Mates,marteen,yoru,2,1,,,1,,,,,39,4,1
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,Gentle Mates,bipo,neon,2,1,,,,,,,,43,1,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,Gentle Mates,Minny,cypher,3,1,,,,,,,,58,4,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,EDward Gaming,nobody,sova,2,,1,,,,,,,47,5,1
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,EDward Gaming,ZmjjKK,chamber,3,1,1,,,,,,,76,0,1
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,EDward Gaming,Smoggy,omen,2,,,,,,,,,48,0,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,EDward Gaming,CHICHOO,viper,3,,,,,,,,,47,1,1
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,EDward Gaming,cb,neon,4,1,,,,,,,,55,1,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,Gentle Mates,starxo,fade,1,,,,,,,,,42,5,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,Gentle Mates,GLYPH,astra,4,1,,,,,,,,77,1,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,Gentle Mates,marteen,yoru,3,3,,,2,,,,,81,0,1
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,Gentle Mates,bipo,neon,1,,,,,,,,,39,0,1
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,Gentle Mates,Minny,cypher,2,1,,,,,,,,50,1,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,EDward Gaming,nobody,sova,2,,,,,,,,,32,1,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,EDward Gaming,ZmjjKK,neon,2,1,,,,,,,,38,0,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,EDward Gaming,Smoggy,astra,2,,,,,,,,,45,2,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,EDward Gaming,CHICHOO,killjoy,4,,,,,,,,,48,0,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,EDward Gaming,cb,yoru,4,,,,,,,,,50,0,1
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,All Maps,Xi Lai Gaming,NoMan,"killjoy, waylay",4,,,,,,,,,32,1,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,All Maps,Xi Lai Gaming,Rarga,"neon, yoru",3,3,,,,,,,,51,0,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,All Maps,Xi Lai Gaming,WsLeo,sova,2,1,,,,,,,,37,6,1
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,All Maps,Xi Lai Gaming,Lysoar,omen,4,,,,1,,,,,40,0,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,All Maps,Xi Lai Gaming,happywei,"astra, viper",,4,1,,1,,,,,64,3,1
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,All Maps,Mega Minors,brawk,sova,7,2,,,,1,,,,60,4,1
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,All Maps,Mega Minors,mada,"neon, waylay",6,2,1,,,,,,,61,0,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,All Maps,Mega Minors,skuba,"killjoy, viper",5,1,,,2,,,,,48,2,1
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,All Maps,Mega Minors,Ethan,"omen, tejo",2,2,,,,2,,,,37,12,1
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,All Maps,Mega Minors,keiko,"omen, viper",10,,1,,1,,,,,63,2,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Haven,Xi Lai Gaming,NoMan,killjoy,1,,,,,,,,,29,0,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Haven,Xi Lai Gaming,Rarga,neon,1,1,,,,,,,,47,0,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Haven,Xi Lai Gaming,WsLeo,sova,,,,,,,,,,26,1,1
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Haven,Xi Lai Gaming,Lysoar,omen,,,,,,,,,,21,0,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Haven,Xi Lai Gaming,happywei,viper,,1,1,,,,,,,81,0,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Haven,Mega Minors,brawk,sova,2,1,,,,,,,,62,1,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Haven,Mega Minors,mada,neon,3,1,1,,,,,,,86,0,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Haven,Mega Minors,skuba,killjoy,3,,,,,,,,,56,0,1
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Haven,Mega Minors,Ethan,omen,,1,,,,,,,,35,8,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Haven,Mega Minors,keiko,viper,3,,,,1,,,,,57,2,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Abyss,Xi Lai Gaming,NoMan,waylay,3,,,,,,,,,35,1,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Abyss,Xi Lai Gaming,Rarga,yoru,2,2,,,,,,,,54,0,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Abyss,Xi Lai Gaming,WsLeo,sova,2,1,,,,,,,,47,5,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Abyss,Xi Lai Gaming,Lysoar,omen,4,,,,1,,,,,59,0,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Abyss,Xi Lai Gaming,happywei,astra,,3,,,1,,,,,47,3,1
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Abyss,Mega Minors,brawk,sova,5,1,,,,1,,,,58,3,1
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Abyss,Mega Minors,mada,waylay,3,1,,,,,,,,36,0,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Abyss,Mega Minors,skuba,viper,2,1,,,2,,,,,39,2,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Abyss,Mega Minors,Ethan,tejo,2,1,,,,2,,,,39,4,1
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Abyss,Mega Minors,keiko,omen,7,,1,,,,,,,69,0,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,G2 Esports vs Paper Rex,All Maps,G2 Esports,BABYBAY,waylay,1,,,,,,,,,34,0,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,G2 Esports vs Paper Rex,All Maps,G2 Esports,valyn,astra,4,3,,,,,,,,65,7,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,G2 Esports vs Paper Rex,All Maps,G2 Esports,jawgemo,"iso, neon",5,1,1,,,,,,,49,1,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,G2 Esports vs Paper Rex,All Maps,G2 Esports,leaf,viper,6,3,,,,,,,,48,2,1
Valorant Masters Santiago 2026,Swiss Stage,Round 1,G2 Esports vs Paper Rex,All Maps,G2 Esports,trent,"fade, skye",6,2,,,1,,,,,49,8,1
Valorant Masters Santiago 2026,Swiss Stage,Round 1,G2 Esports vs Paper Rex,All Maps,Paper Rex,Jinggg,"omen, raze",6,,,,,,,,,50,0,3
Valorant Masters Santiago 2026,Swiss Stage,Round 1,G2 Esports vs Paper Rex,All Maps,Paper Rex,invy,fade,6,3,,,1,,,,,63,6,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,G2 Esports vs Paper Rex,All Maps,Paper Rex,f0rsakeN,"omen, viper",7,3,1,,,,,,,78,2,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,G2 Esports vs Paper Rex,All Maps,Paper Rex,d4v41,"viper, vyse",4,5,,,1,1,,,,74,3,3
Valorant Masters Santiago 2026,Swiss Stage,Round 1,G2 Esports vs Paper Rex,All Maps,Paper Rex,something,"waylay, yoru",8,,,,,,,,,41,0,3
Valorant Masters Santiago 2026,Swiss Stage,Round 1,G2 Esports vs Paper Rex,Split,G2 Esports,BABYBAY,waylay,1,,,,,,,,,31,0,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,G2 Esports vs Paper Rex,Split,G2 Esports,valyn,astra,2,2,,,,,,,,66,4,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,G2 Esports vs Paper Rex,Split,G2 Esports,jawgemo,neon,2,1,1,,,,,,,42,0,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,G2 Esports vs Paper Rex,Split,G2 Esports,leaf,viper,5,2,,,,,,,,59,2,1
Valorant Masters Santiago 2026,Swiss Stage,Round 1,G2 Esports vs Paper Rex,Split,G2 Esports,trent,fade,4,1,,,,,,,,49,3,1
Valorant Masters Santiago 2026,Swiss Stage,Round 1,G2 Esports vs Paper Rex,Split,Paper Rex,Jinggg,raze,2,,,,,,,,,40,0,3
Valorant Masters Santiago 2026,Swiss Stage,Round 1,G2 Esports vs Paper Rex,Split,Paper Rex,invy,fade,3,1,,,,,,,,70,3,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,G2 Esports vs Paper Rex,Split,Paper Rex,f0rsakeN,omen,3,1,,,,,,,,65,2,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,G2 Esports vs Paper Rex,Split,Paper Rex,d4v41,viper,2,2,,,,1,,,,71,1,1
Valorant Masters Santiago 2026,Swiss Stage,Round 1,G2 Esports vs Paper Rex,Split,Paper Rex,something,yoru,5,,,,,,,,,48,0,1
Valorant Masters Santiago 2026,Swiss Stage,Round 1,G2 Esports vs Paper Rex,Corrode,G2 Esports,BABYBAY,waylay,,,,,,,,,,37,0,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,G2 Esports vs Paper Rex,Corrode,G2 Esports,valyn,astra,2,1,,,,,,,,63,3,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,G2 Esports vs Paper Rex,Corrode,G2 Esports,jawgemo,iso,3,,,,,,,,,56,1,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,G2 Esports vs Paper Rex,Corrode,G2 Esports,leaf,viper,1,1,,,,,,,,37,0,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,G2 Esports vs Paper Rex,Corrode,G2 Esports,trent,skye,2,1,,,1,,,,,48,5,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,G2 Esports vs Paper Rex,Corrode,Paper Rex,Jinggg,omen,4,,,,,,,,,59,0,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,G2 Esports vs Paper Rex,Corrode,Paper Rex,invy,fade,3,2,,,1,,,,,56,3,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,G2 Esports vs Paper Rex,Corrode,Paper Rex,f0rsakeN,viper,4,2,1,,,,,,,90,0,0
Valorant Masters Santiago 2026,Swiss Stage,Round 1,G2 Esports vs Paper Rex,Corrode,Paper Rex,d4v41,vyse,2,3,,,1,,,,,76,2,2
Valorant Masters Santiago 2026,Swiss Stage,Round 1,G2 Esports vs Paper Rex,Corrode,Paper Rex,something,waylay,3,,,,,,,,,34,0,2
Valorant Masters Santiago 2026,Swiss Stage,Round 1,T1 vs Team Liquid,All Maps,T1,stax,"fade, sova",7,5,,1,,,,1,,67,10,1
