Tournament,Stage,Match Type,Match Name,Map
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Haven
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Abyss
Valorant Masters Santiago 2026,Swiss Stage,Round 1,G2 Esports vs Paper Rex,Split
Valorant Masters Santiago 2026,Swiss Stage,Round 1,G2 Esports vs Paper Rex,Corrode
Valorant Masters Santiago 2026,Swiss Stage,Round 1,T1 vs Team Liquid,Breeze
Valorant Masters Santiago 2026,Swiss Stage,Round 1,T1 vs Team Liquid,Split
Valorant Masters Santiago 2026,Swiss Stage,Round 2 (1-0),Paper Rex vs NRG,Split
Valorant Masters Santiago 2026,Swiss Stage,Round 2 (1-0),Paper Rex vs NRG,Pearl
Valorant Masters Santiago 2026,Swiss Stage,Round 2 (1-0),Paper Rex vs NRG,Haven
Valorant Masters Santiago 2026,Swiss Stage,Round 2 (1-0),Gentle Mates vs Team Liquid,Pearl
Valorant Masters Santiago 2026,Swiss Stage,Round 2 (1-0),Gentle Mates vs Team Liquid,Bind
Valorant Masters Santiago 2026,Swiss Stage,Round 2 (0-1),EDward Gaming vs T1,Bind
Valorant Masters Santiago 2026,Swiss Stage,Round 2 (0-1),EDward Gaming vs T1,Haven
Valorant Masters Santiago 2026,Swiss Stage,Round 2 (0-1),Xi Lai Gaming vs G2 Esports,Abyss
Valorant Masters Santiago 2026,Swiss Stage,Round 2 (0-1),Xi Lai Gaming vs G2 Esports,Haven
Valorant Masters Santiago 2026,Swiss Stage,Round 3,NRG vs Team Liquid,Breeze
Valorant Masters Santiago 2026,Swiss Stage,Round 3,NRG vs Team Liquid,Abyss
Valorant Masters Santiago 2026,Swiss Stage,Round 3,G2 Esports vs T1,Breeze
Valorant Masters Santiago 2026,Swiss Stage,Round 3,G2 Esports vs T1,Haven
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,FURIA vs Paper Rex,Haven
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,FURIA vs Paper Rex,Breeze
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,FURIA vs Paper Rex,Split
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Nongshim RedForce vs Gentle Mates,Haven
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Nongshim RedForce vs Gentle Mates,Corrode
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,BBL Esports vs NRG,Pearl
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,BBL Esports vs NRG,Abyss
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,BBL Esports vs NRG,Split
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,Split
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,Abyss
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,Haven
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,Breeze
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,Abyss
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,Gentle Mates vs All Gamers,Pearl
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,Gentle Mates vs All Gamers,Split
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,Gentle Mates vs All Gamers,Bind
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Nongshim RedForce vs G2 Esports,Abyss
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Nongshim RedForce vs G2 Esports,Corrode
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Nongshim RedForce vs G2 Esports,Split
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Paper Rex vs NRG,Pearl
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Paper Rex vs NRG,Bind
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,G2 Esports vs BBL Esports,Haven
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,G2 Esports vs BBL Esports,Breeze
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,Paper Rex vs All Gamers,Corrode
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,Paper Rex vs All Gamers,Pearl
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,Paper Rex vs All Gamers,Split
Valorant Masters Santiago 2026,Playoffs,Upper Final,Nongshim RedForce vs NRG,Bind
Valorant Masters Santiago 2026,Playoffs,Upper Final,Nongshim RedForce vs NRG,Abyss
Valorant Masters Santiago 2026,Playoffs,Lower Round 3,Paper Rex vs G2 Esports,Haven
