Tournament,Stage,Match Type,Match Name,Map,Team A,Team A Score,Team A Attacker Score,Team A Defender Score,Team A Overtime Score,Team B,Team B Score,Team B Attacker Score,Team B Defender Score,Team B Overtime Score,Duration
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,Gentle Mates,13,8,5,,EDward Gaming,11,7,4,,54:30
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,Gentle Mates,13,6,7,,EDward Gaming,7,1,6,,45:24
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Haven,Xi Lai Gaming,2,2,0,,Mega Minors,13,3,10,,35:28
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Abyss,Xi Lai Gaming,10,3,7,,Mega Minors,13,4,9,,50:40
Valorant Masters Santiago 2026,Swiss Stage,Round 1,G2 Esports vs Paper Rex,Split,G2 Esports,9,4,5,,Paper Rex,13,5,8,,43:53
Valorant Masters Santiago 2026,Swiss Stage,Round 1,G2 Esports vs Paper Rex,Corrode,G2 Esports,5,5,0,,Paper Rex,13,6,7,,37:12
Valorant Masters Santiago 2026,Swiss Stage,Round 1,T1 vs Team Liquid,Breeze,T1,8,4,4,,Team Liquid,13,5,8,,41:05
Valorant Masters Santiago 2026,Swiss Stage,Round 1,T1 vs Team Liquid,Split,T1,13,7,5,1,Team Liquid,15,7,5,3,56:37
Valorant Masters Santiago 2026,Swiss Stage,Round 2 (1-0),Paper Rex vs NRG,Split,Paper Rex,13,6,7,,Mega Minors,10,4,6,,49:53
Valorant Masters Santiago 2026,Swiss Stage,Round 2 (1-0),Paper Rex vs NRG,Pearl,Paper Rex,10,5,5,,Mega Minors,13,6,7,,52:48
Valorant Masters Santiago 2026,Swiss Stage,Round 2 (1-0),Paper Rex vs NRG,Haven,Paper Rex,13,8,5,,Mega Minors,11,7,4,,55:43
Valorant Masters Santiago 2026,Swiss Stage,Round 2 (1-0),Gentle Mates vs Team Liquid,Pearl,Gentle Mates,13,6,7,,Team Liquid,11,5,6,,48:24
Valorant Masters Santiago 2026,Swiss Stage,Round 2 (1-0),Gentle Mates vs Team Liquid,Bind,Gentle Mates,13,10,3,,Team Liquid,3,1,2,,32:57
