Tournament,Stage,Match Type,Match Name,Map,Round Number,Eliminator Team,Eliminator,Eliminator Agent,Eliminated Team,Eliminated,Eliminated Agent,Kill Type
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,1,Gentle Mates,starxo,sova,EDward Gaming,Smoggy,omen,2k
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,1,Gentle Mates,starxo,sova,EDward Gaming,CHICHOO,viper,2k
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,3,Gentle Mates,starxo,sova,EDward Gaming,Smoggy,omen,2k
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,3,Gentle Mates,starxo,sova,EDward Gaming,nobody,sova,2k
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,6,Gentle Mates,starxo,sova,EDward Gaming,cb,neon,2k
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,6,Gentle Mates,starxo,sova,EDward Gaming,Smoggy,omen,2k
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,12,Gentle Mates,starxo,sova,EDward Gaming,CHICHOO,viper,2k
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,12,Gentle Mates,starxo,sova,EDward Gaming,nobody,sova,2k
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,14,Gentle Mates,starxo,sova,EDward Gaming,cb,neon,2k
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,14,Gentle Mates,starxo,sova,EDward Gaming,CHICHOO,viper,2k
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,18,Gentle Mates,starxo,sova,EDward Gaming,Smoggy,omen,3k
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,18,Gentle Mates,starxo,sova,EDward Gaming,cb,neon,3k
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,18,Gentle Mates,starxo,sova,EDward Gaming,CHICHOO,viper,3k
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,13,Gentle Mates,GLYPH,astra,EDward Gaming,cb,neon,2k
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,13,Gentle Mates,GLYPH,astra,EDward Gaming,Smoggy,omen,2k
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,24,Gentle Mates,GLYPH,astra,EDward Gaming,ZmjjKK,chamber,2k
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,24,Gentle Mates,GLYPH,astra,EDward Gaming,CHICHOO,viper,2k
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,6,Gentle Mates,marteen,yoru,EDward Gaming,CHICHOO,viper,2k
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,6,Gentle Mates,marteen,yoru,EDward Gaming,ZmjjKK,chamber,2k
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,8,Gentle Mates,marteen,yoru,EDward Gaming,nobody,sova,2k
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,8,Gentle Mates,marteen,yoru,EDward Gaming,ZmjjKK,chamber,2k
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,22,Gentle Mates,marteen,yoru,EDward Gaming,nobody,sova,3k
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,22,Gentle Mates,marteen,yoru,EDward Gaming,Smoggy,omen,3k
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,22,Gentle Mates,marteen,yoru,EDward Gaming,ZmjjKK,chamber,3k
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,22,Gentle Mates,marteen,yoru,EDward Gaming,ZmjjKK,chamber,1v1
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,5,Gentle Mates,bipo,neon,EDward Gaming,cb,neon,2k
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,5,Gentle Mates,bipo,neon,EDward Gaming,nobody,sova,2k
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,13,Gentle Mates,bipo,neon,EDward Gaming,ZmjjKK,chamber,2k
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,13,Gentle Mates,bipo,neon,EDward Gaming,nobody,sova,2k
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,7,Gentle Mates,bipo,neon,EDward Gaming,ZmjjKK,chamber,3k
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,7,Gentle Mates,bipo,neon,EDward Gaming,Smoggy,omen,3k
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,7,Gentle Mates,bipo,neon,EDward Gaming,cb,neon,3k
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,2,Gentle Mates,Minny,cypher,EDward Gaming,nobody,sova,2k
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,2,Gentle Mates,Minny,cypher,EDward Gaming,ZmjjKK,chamber,2k
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,7,Gentle Mates,Minny,cypher,EDward Gaming,CHICHOO,viper,2k
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,7,Gentle Mates,Minny,cypher,EDward Gaming,nobody,sova,2k
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,21,Gentle Mates,Minny,cypher,EDward Gaming,cb,neon,2k
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,21,Gentle Mates,Minny,cypher,EDward Gaming,Smoggy,omen,2k
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,5,Gentle Mates,Minny,cypher,EDward Gaming,ZmjjKK,chamber,3k
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,5,Gentle Mates,Minny,cypher,EDward Gaming,Smoggy,omen,3k
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,5,Gentle Mates,Minny,cypher,EDward Gaming,CHICHOO,viper,3k
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,10,EDward Gaming,nobody,sova,Gentle Mates,GLYPH,astra,2k
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,10,EDward Gaming,nobody,sova,Gentle Mates,marteen,yoru,2k
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,16,EDward Gaming,nobody,sova,Gentle Mates,marteen,yoru,2k
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,16,EDward Gaming,nobody,sova,Gentle Mates,GLYPH,astra,2k
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,1,EDward Gaming,nobody,sova,Gentle Mates,marteen,yoru,4k
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,1,EDward Gaming,nobody,sova,Gentle Mates,Minny,cypher,4k
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,1,EDward Gaming,nobody,sova,Gentle Mates,GLYPH,astra,4k
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,1,EDward Gaming,nobody,sova,Gentle Mates,starxo,sova,4k
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,7,EDward Gaming,ZmjjKK,chamber,Gentle Mates,starxo,sova,2k
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,7,EDward Gaming,ZmjjKK,chamber,Gentle Mates,GLYPH,astra,2k
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,17,EDward Gaming,ZmjjKK,chamber,Gentle Mates,starxo,sova,2k
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,17,EDward Gaming,ZmjjKK,chamber,Gentle Mates,marteen,yoru,2k
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,18,EDward Gaming,ZmjjKK,chamber,Gentle Mates,GLYPH,astra,2k
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,18,EDward Gaming,ZmjjKK,chamber,Gentle Mates,starxo,sova,2k
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,22,EDward Gaming,ZmjjKK,chamber,Gentle Mates,bipo,neon,3k
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,22,EDward Gaming,ZmjjKK,chamber,Gentle Mates,Minny,cypher,3k
