Tournament,Stage,Match Type,Match Name,Map,Round Number,Team,Method,Outcome
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,1,EDward Gaming,Elimination,Win
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,1,Gentle Mates,Eliminated,Loss
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,2,Gentle Mates,Elimination,Win
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,2,EDward Gaming,Eliminated,Loss
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,3,Gentle Mates,Elimination,Win
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,3,EDward Gaming,Eliminated,Loss
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,4,EDward Gaming,Defused,Win
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,4,Gentle Mates,Detonated Denied,Loss
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,5,Gentle Mates,Elimination,Win
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,5,EDward Gaming,Eliminated,Loss
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,6,Gentle Mates,Elimination,Win
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,6,EDward Gaming,Eliminated,Loss
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,7,Gentle Mates,Elimination,Win
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,7,EDward Gaming,Eliminated,Loss
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,8,Gentle Mates,Detonated,Win
